#geneID	transcript	cds-parts	phases	chr	strand	start	end	full-length	longest intron	smallest exon
gene16	RNA28	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16	0,2,1,0,2,2,0,2,2,0,2,0,1,1,1,0,0	NW_014569547.1	1	775019	840362	true	15785	30
gene17	RNA32	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15	0,2,1,0,2,2,0,2,2,0,2,0,0,1,0,0	NW_014569547.1	1	910045	939989	true	12484	28
gene18	RNA33	0, 1, 2	0,2,2	NW_014569547.1	1	943982	945643	true	1258	23
gene19	RNA34	0, 1, 2, 3, 4	0,1,1,1,2	NW_014569547.1	1	962340	966828	true	1932	14
gene19	RNA35	5, 2, 3, 4	0,1,1,2	NW_014569547.1	1	963441	966828	true	1932	9
gene20	RNA36	0, 1, 2, 3, 4, 5, 6, 7, 8, 9	0,0,0,0,0,0,1,2,0,0	NW_014569547.1	-1	981161	986328	true	1223	40
gene20	RNA37	0, 10, 11, 3, 4, 5, 6, 7, 8, 9	0,0,0,0,0,0,1,2,0,0	NW_014569547.1	-1	981161	986328	true	1289	39
gene20	RNA38	0, 10, 2, 3, 4, 5, 6, 7, 8, 9	0,0,0,0,0,0,1,2,0,0	NW_014569547.1	-1	981161	986328	true	1286	40
gene20	RNA39	0, 1, 11, 3, 4, 5, 6, 7, 8, 9	0,0,0,0,0,0,1,2,0,0	NW_014569547.1	-1	981161	986328	true	1226	39
gene21	RNA40	0, 1, 2	0,2,2	NW_014569547.1	1	990452	994475	true	2168	52
gene23	RNA43	0	0	NW_014569547.1	1	996391	998775	true	NA	795
gene22	RNA42	0, 1, 2, 3, 4, 5, 6	0,1,1,1,2,2,1	NW_014569547.1	-1	995728	1002597	true	3483	14
gene24	RNA44	0, 1, 2, 3, 4, 5, 6, 7, 8	0,0,1,2,0,1,2,0,2	NW_014569547.1	-1	1006816	1010680	true	666	24
gene24	RNA45	9, 2, 3, 4, 5, 6, 7, 8	0,1,2,0,1,2,0,2	NW_014569547.1	-1	1006816	1009792	true	243	25
gene25	RNA46	0, 1, 2, 3, 4, 5, 6, 7	0,0,2,0,0,2,2,0	NW_014569547.1	-1	1013800	1016455	true	793	28
gene25	RNA50	0, 1, 2, 3, 4, 8, 6, 7	0,0,2,0,0,2,2,0	NW_014569547.1	-1	1013800	1016455	true	793	28
gene25	RNA52	9, 2, 3, 4, 5, 6, 7	0,2,0,0,2,2,0	NW_014569547.1	-1	1013800	1015521	true	174	23
gene26	RNA53	0, 1, 2, 3, 4, 5	0,1,0,0,0,0	NW_014569547.1	-1	1018453	1020038	true	195	34
gene27	RNA54	0, 1, 2, 3, 4, 5, 6, 7, 8, 9	0,0,1,0,0,1,2,2,0,0	NW_014569547.1	1	1021142	1023546	true	281	20
gene28	RNA56	0, 1, 2, 3, 4	0,1,0,0,1	NW_014569547.1	-1	1026018	1030635	true	1822	6
gene28	RNA57	5, 6, 2, 3, 4	0,2,0,0,1	NW_014569547.1	-1	1026018	1031038	true	3402	20
gene28	RNA58	7, 3, 4	0,0,1	NW_014569547.1	-1	1026018	1027210	true	125	26
gene29	RNA60	0, 1, 2, 3, 4, 5, 6, 7, 8, 9	0,1,2,0,1,0,2,2,0,2	NW_014569547.1	-1	1043628	1102566	true	35237	20
gene31	RNA62	0, 1, 2, 3, 4, 5, 6, 7	0,2,0,2,0,1,1,2	NW_014569547.1	-1	1114036	1119913	true	2959	12
gene32	RNA63	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12	0,1,2,2,1,1,0,1,1,2,0,0,2	NW_014569547.1	1	1120730	1125435	true	477	15
gene32	RNA64	0, 1, 2, 3, 4, 5, 6, 7, 13, 9, 10, 11, 12	0,1,2,2,1,1,0,1,1,2,0,0,2	NW_014569547.1	1	1120730	1125435	true	477	15
gene34	RNA76	0, 1, 2, 3, 4, 5	0,0,0,2,1,2	NW_014569547.1	-1	1140552	1143057	true	261	53
gene33	RNA65	0, 1, 2, 3, 4, 5, 6, 7	0,1,1,1,1,2,0,1	NW_014569547.1	1	1131004	1164333	true	12999	11
gene33	RNA67	0, 2, 3, 4, 5, 6, 7	0,1,1,1,2,0,1	NW_014569547.1	1	1131004	1164333	true	20207	28
gene33	RNA68	0, 1, 2, 3, 4, 5, 8	0,1,1,1,1,2,0	NW_014569547.1	1	1131004	1160175	true	12999	11
gene33	RNA69	9, 3, 4, 5, 6, 7	0,1,1,2,0,1	NW_014569547.1	1	1152112	1164333	true	5666	44
gene35	RNA77	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12	0,1,1,1,1,1,1,2,2,2,2,2,2	NW_014569547.1	-1	1170134	1175358	true	1329	41
gene36	RNA78	0, 1, 2, 3	0,2,0,0	NW_014569547.1	-1	1176278	1178205	true	184	103
gene37	RNA79	0, 1, 2	0,1,0	NW_014569547.1	-1	1183382	1185991	true	648	17
gene38	RNA82	0, 1, 2	0,0,0	NW_014569547.1	-1	1189750	1190411	true	102	40
gene39	RNA83	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11	0,1,0,2,2,0,0,1,2,2,1,0	NW_014569547.1	-1	1191121	1195598	true	1368	17
gene39	RNA84	12, 4, 5, 6, 7, 8, 9, 10, 11	0,2,0,0,1,2,2,1,0	NW_014569547.1	-1	1191121	1194703	true	1368	27
gene40	RNA85	0	0	NW_014569547.1	-1	1193371	1194204	true	NA	278
gene41	RNA86	0, 1, 2	0,2,0	NW_014569547.1	1	1196069	1196674	true	210	17
gene42	RNA87	0, 1, 2, 3, 4, 5	0,0,2,2,0,0	NW_014569547.1	-1	1197280	1198562	true	170	30
gene44	RNA89	0, 1	0,2	NW_014569547.1	-1	1201446	1202261	true	162	93
gene45	RNA90	0, 1	0,2	NW_014569547.1	-1	1203617	1204433	true	178	45
gene47	RNA93	0, 1	0,2	NW_014569547.1	-1	1207851	1208649	true	142	63
gene50	RNA96	0, 1, 2, 3, 4, 5	0,1,1,0,2,0	NW_014569547.1	-1	1221802	1223970	true	121	14
gene51	RNA97	0, 1, 2, 3, 4, 5, 6	0,2,2,2,0,0,0	NW_014569547.1	1	1224909	1228094	true	872	6
gene52	RNA98	0, 1, 2, 3, 4, 5	0,0,0,2,0,0	NW_014569547.1	-1	1229005	1231089	true	110	23
gene53	RNA99	0, 1, 2, 3	0,1,0,0	NW_014569547.1	1	1231825	1232731	true	85	19
gene54	RNA100	0, 1, 2, 3, 4, 5, 6, 7	0,0,0,0,0,0,2,2	NW_014569547.1	-1	1232868	1235157	true	93	10
gene55	RNA101	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11	0,1,0,1,1,1,0,0,2,1,0,1	NW_014569547.1	1	1240310	1243300	true	247	31
gene56	RNA102	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12	0,2,1,0,0,2,0,1,1,0,2,0,1	NW_014569547.1	1	1244513	1248523	true	421	29
gene56	RNA103	0, 1, 2, 3, 4, 13, 6, 7, 8, 9, 10, 11, 12	0,2,1,0,0,2,0,1,1,0,2,0,1	NW_014569547.1	1	1244513	1248523	true	421	29
gene57	RNA104	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38	0,2,0,1,0,2,0,0,2,0,2,1,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,0,2,0,2,2,0,0	NW_014569547.1	1	1254661	1275990	true	5859	23
gene57	RNA107	39, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38	0,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,0,2,0,2,2,0,0	NW_014569547.1	1	1267232	1275990	true	1367	23
gene58	RNA109	0, 1, 2, 3	0,0,2,2	NW_014569547.1	1	1276620	1277581	true	72	35
gene58	RNA110	0, 4, 2, 3	0,0,2,2	NW_014569547.1	1	1276620	1277581	true	90	35
gene59	RNA111	0, 1, 2, 3, 4, 5, 6, 7, 8, 9	0,0,1,2,1,0,1,0,1,0	NW_014569547.1	-1	1277781	1280922	true	151	17
gene60	RNA112	0, 1, 2, 3, 4, 5, 6, 7, 8, 9	0,2,0,2,2,1,2,0,0,0	NW_014569547.1	1	1281678	1285018	true	125	9
gene61	RNA116	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10	0,2,2,2,0,2,1,0,0,2,0	NW_014569547.1	1	1286154	1290378	true	891	5
gene61	RNA117	4, 5, 6, 7, 8, 9, 10	0,2,1,0,0,2,0	NW_014569547.1	1	1287944	1290378	true	318	34
gene62	RNA120	0, 1, 2, 3, 4	0,2,0,0,2	NW_014569547.1	1	1291758	1292670	true	85	12
gene63	RNA121	0, 1, 2, 3, 4, 5	0,0,0,2,2,1	NW_014569547.1	1	1293313	1295103	true	192	11
gene64	RNA122	0, 1, 2	0,2,0	NW_014569547.1	1	1295889	1296413	true	83	27
gene65	RNA123	0, 1, 2, 3, 4, 5, 6, 7, 8, 9	0,1,2,0,2,1,0,2,1,2	NW_014569547.1	-1	1296682	1300489	true	220	14
gene65	RNA124	10, 11, 1, 2, 3, 4, 5, 6, 7, 8, 9	0,0,1,2,0,2,1,0,2,1,2	NW_014569547.1	-1	1296682	1301137	true	375	14
gene66	RNA126	0, 1, 2, 3, 4	0,2,2,2,1	NW_014569547.1	1	1302304	1303835	true	730	6
gene66	RNA127	5, 2, 3, 4	0,2,2,1	NW_014569547.1	1	1302812	1303835	true	73	46
gene67	RNA128	0, 1, 2	0,1,1	NW_014569547.1	-1	1304588	1305740	true	481	13
gene67	RNA129	3, 2	0,1	NW_014569547.1	-1	1304588	1305187	true	75	54
gene68	RNA130	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10	0,1,0,1,0,0,2,2,0,0,2	NW_014569547.1	-1	1308244	1311762	true	477	4
gene68	RNA131	0, 1, 2, 3, 5, 6, 7, 8, 9, 11	0,1,0,1,0,2,2,0,0,2	NW_014569547.1	-1	1308244	1311762	true	896	20
gene68	RNA132	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11	0,1,0,1,0,0,2,2,0,0,2	NW_014569547.1	-1	1308244	1311762	true	477	4
gene68	RNA133	12, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11	0,1,0,1,0,0,2,2,0,0,2	NW_014569547.1	-1	1308244	1311729	true	477	4
gene68	RNA134	0, 1, 2, 3, 5, 13, 7, 8, 9, 11	0,1,0,1,0,2,2,0,0,2	NW_014569547.1	-1	1308244	1311762	true	896	20
gene68	RNA135	0, 1, 2, 3, 4, 5, 13, 7, 8, 9, 11	0,1,0,1,0,0,2,2,0,0,2	NW_014569547.1	-1	1308244	1311762	true	477	4
gene69	RNA136	0, 1, 2	0,1,0	NW_014569547.1	1	1312568	1313202	true	121	4
gene70	RNA137	0, 1, 2, 3, 4, 5, 6, 7, 8	0,1,1,1,2,1,0,0,1	NW_014569547.1	1	1313993	1316319	true	230	21
gene70	RNA138	9, 1, 2, 3, 4, 5, 6, 7, 8	0,1,1,1,2,1,0,0,1	NW_014569547.1	1	1313858	1316319	true	464	3
gene71	RNA139	0, 1, 2, 3, 4, 5, 6	0,2,1,1,2,2,2	NW_014569547.1	-1	1318655	1324138	true	158	23
gene72	RNA140	0, 1, 2, 3, 4, 5	0,2,1,0,2,0	NW_014569547.1	1	1325119	1327392	true	143	26
gene73	RNA141	0, 1, 2, 3	0,1,0,0	NW_014569547.1	1	1328605	1329962	true	92	38
gene74	RNA143	0, 1, 2	0,0,0	NW_014569547.1	-1	1330429	1331485	true	98	77
gene75	RNA144	0, 1, 2, 3, 4, 5, 6, 7, 8, 9	0,2,2,2,2,0,2,1,0,0	NW_014569547.1	-1	1338445	1344629	true	798	27
gene75	RNA145	0, 1, 2, 3, 4, 5, 6, 10, 11, 8, 9	0,2,2,2,2,0,2,1,0,0,0	NW_014569547.1	-1	1338445	1344629	true	798	27
gene76	RNA146	0, 1, 2	0,1,2	NW_014569547.1	1	1345334	1346274	true	82	49
gene76	RNA147	3, 4, 1, 2	0,0,1,2	NW_014569547.1	1	1345127	1346274	true	117	14
gene77	RNA148	0, 1, 2, 3, 4	0,0,0,0,0	NW_014569547.1	-1	1346519	1347747	true	129	37
gene77	RNA149	5, 6, 1, 2, 3, 4	0,1,0,0,0,0	NW_014569547.1	-1	1346519	1347974	true	173	8
gene78	RNA150	0, 1, 2	0,0,1	NW_014569547.1	1	1348170	1348718	true	274	1
gene79	RNA151	0, 1, 2	0,0,2	NW_014569547.1	-1	1349011	1349845	true	87	71
gene81	RNA156	0, 1, 2	0,2,1	NW_014569547.1	1	1458937	1461095	true	601	87
gene80	RNA152	0, 1, 2, 3, 4, 5, 6, 7, 8	0,2,0,2,2,2,2,2,2	NW_014569547.1	-1	1395299	1588384	true	137677	20
gene80	RNA153	0, 1, 2, 3, 4, 5, 6, 8	0,2,0,2,2,2,2,2	NW_014569547.1	-1	1395299	1588384	true	137677	20
gene82	RNA161	0, 1, 2, 3, 4, 5, 6, 7	0,0,1,1,2,0,2,1	NW_014569547.1	1	1628827	1637250	true	2188	23
gene83	RNA162	0, 1, 2	0,1,1	NW_014569547.1	-1	1647467	1648126	true	156	25
gene84	RNA163	0, 1, 2, 3, 4, 5, 6, 7, 8	0,2,0,1,2,1,2,0,2	NW_014569547.1	1	1651949	1654550	true	98	42
gene84	RNA164	0, 1, 2, 3, 4, 5, 6, 7, 9	0,2,0,1,2,1,2,0,2	NW_014569547.1	1	1651949	1654431	true	341	1
gene85	RNA165	0, 1, 2, 3, 4, 5	0,2,2,2,2,2	NW_014569547.1	-1	1656050	1660141	true	1372	5
gene86	RNA166	0, 1, 2, 3, 4	0,1,2,0,2	NW_014569547.1	-1	1661945	1666310	true	2124	57
gene86	RNA167	0, 1, 2, 5, 4	0,1,2,0,2	NW_014569547.1	-1	1661945	1666310	true	2124	57
gene87	RNA168	0, 1, 2, 3, 4, 5	0,1,2,1,0,0	NW_014569547.1	-1	1736705	1758261	true	11890	32
gene87	RNA172	0, 1, 2, 6, 4, 5	0,1,2,1,0,0	NW_014569547.1	-1	1736705	1758261	true	11890	32
gene89	RNA175	0, 1, 2, 3	0,0,2,1	NW_014569547.1	1	1774976	1842185	true	60546	36
gene89	RNA176	0, 4, 2, 3	0,0,2,1	NW_014569547.1	1	1774976	1842185	true	60609	36
gene89	RNA177	5, 6, 2, 3	0,0,2,1	NW_014569547.1	1	1826320	1842185	true	8879	36
gene90	RNA178	0	0	NW_014569547.1	1	1859693	1861105	true	0	471
gene90	RNA179	1, 2	0,0	NW_014569547.1	1	1859438	1861105	true	159	18
gene91	RNA180	0	0	NW_014569547.1	1	1871076	1872488	true	NA	471
gene93	RNA182	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19	0,0,2,0,2,1,2,2,2,2,1,1,2,2,0,2,1,1,0,1	NW_014569547.1	1	1885627	1897829	true	3767	9
gene93	RNA183	0, 1, 2, 3, 4, 5, 20, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19	0,0,2,0,2,1,2,2,2,1,1,2,2,0,2,1,1,0,1	NW_014569547.1	1	1885627	1897829	true	3767	26
gene93	RNA184	0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19	0,0,2,0,2,1,2,2,2,1,1,2,2,0,2,1,1,0,1	NW_014569547.1	1	1885627	1897829	true	3767	15
gene93	RNA185	0, 1, 2, 3, 4, 5, 20, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21	0,0,2,0,2,1,2,2,2,1,1,2,2,0,2,1,1,0,1	NW_014569547.1	1	1885627	1894552	true	1586	26
gene93	RNA186	0, 1, 2, 3, 4, 5, 20, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22	0,0,2,0,2,1,2,2,2,1,1,2,2,0,2,1,1,0,1	NW_014569547.1	1	1885627	1895109	true	1586	4
gene93	RNA187	0, 1, 2, 3, 4, 5, 20, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 23	0,0,2,0,2,1,2,2,2,1,1,2,2,0,2,1,1,0,1	NW_014569547.1	1	1885627	1895043	true	1586	8
gene93	RNA188	0, 1, 2, 3, 4, 5, 20, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 24	0,0,2,0,2,1,2,2,2,1,1,2,2,0,2,1,1,0,1	NW_014569547.1	1	1885627	1894294	true	1586	1
gene94	RNA189	0, 1, 2, 3, 4, 5	0,2,2,0,2,2	NW_014569547.1	1	1902264	1905571	true	1069	14
gene94	RNA190	0, 1, 2, 3, 4, 6	0,2,2,0,2,2	NW_014569547.1	1	1902264	1905435	true	1074	7
gene94	RNA191	0, 1, 2, 3, 4, 7	0,2,2,0,2,2	NW_014569547.1	1	1902264	1904835	true	867	14
gene95	RNA192	0, 1	0,1	NW_014569547.1	-1	1911248	1912017	true	68	62
gene96	RNA194	0, 1, 2, 3	0,0,0,1	NW_014569547.1	1	1912788	1913671	true	309	6
gene97	RNA195	0, 1, 2, 3, 4	0,0,0,2,2	NW_014569547.1	-1	1914326	1946731	true	30891	19
gene97	RNA196	0, 1, 2, 3, 5	0,0,0,2,2	NW_014569547.1	-1	1918344	1946731	true	26822	19
gene97	RNA197	0, 1, 2, 3, 6	0,0,0,2,2	NW_014569547.1	-1	1932135	1946731	true	13040	19
gene97	RNA198	0, 1, 2, 3, 7	0,0,0,2,2	NW_014569547.1	-1	1944333	1946731	true	794	19
gene98	RNA199	0, 1, 2, 3, 4	0,0,2,0,0	NW_014569547.1	1	1948311	1950071	true	466	20
gene99	RNA200	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19	0,0,0,2,0,0,0,0,0,2,2,0,2,2,1,2,0,2,1,0	NW_014569547.1	1	1953173	1959671	true	586	4
gene100	RNA201	0, 1, 2, 3, 4, 5, 6	0,2,0,1,2,2,2	NW_014569547.1	-1	1964931	1973958	true	5462	37
gene101	RNA203	0, 1, 2, 3	0,2,2,2	NW_014569547.1	1	1974544	1975610	true	163	20
gene102	RNA207	0, 1	0,1	NW_014569547.1	-1	1977994	1978786	true	76	18
gene103	RNA208	0, 1, 2, 3	0,1,1,0	NW_014569547.1	1	1979398	1980523	true	166	23
gene104	RNA209	0, 1	0,2	NW_014569547.1	-1	1980618	1981547	true	297	98
gene105	RNA210	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14	0,1,0,2,1,1,2,0,0,2,0,0,2,2,0	NW_014569547.1	1	1984421	1989708	true	1541	8
gene106	RNA211	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19	0,1,0,1,2,2,2,1,0,0,0,0,0,0,1,2,0,2,1,1	NW_014569547.1	1	1990084	2002118	true	3867	27
gene107	RNA212	0, 1, 2, 3	0,0,0,0	NW_014569547.1	-1	2002481	2004144	true	239	58
gene108	RNA213	0	0	NW_014569547.1	-1	2004507	2005337	true	NA	277
gene109	RNA216	0, 1, 2, 3, 4	0,0,1,0,1	NW_014569547.1	1	2007058	2010067	true	2023	30
gene109	RNA217	5, 2, 3, 4	0,1,0,1	NW_014569547.1	1	2009174	2010067	true	84	40
gene110	RNA219	0, 1, 2, 3, 4, 5, 6, 7, 8	0,2,2,2,0,0,2,0,2	NW_014569547.1	-1	2013419	2018883	true	1899	5
gene110	RNA220	0, 9, 2, 3, 4, 5, 6, 7, 8	0,2,2,2,0,0,2,0,2	NW_014569547.1	-1	2013419	2018883	true	1899	5
gene110	RNA221	10, 2, 3, 4, 5, 6, 7, 8	0,2,2,0,0,2,0,2	NW_014569547.1	-1	2013419	2017395	true	1899	25
gene110	RNA222	0, 9, 2, 3, 4, 5, 6, 7, 11	0,2,2,2,0,0,2,0,2	NW_014569547.1	-1	2013419	2018883	true	1902	5
gene110	RNA226	0, 9, 2, 3, 4, 5, 6, 7, 12	0,2,2,2,0,0,2,0,2	NW_014569547.1	-1	2015091	2018883	true	1434	5
gene111	RNA227	0, 1, 2	0,0,0	NW_014569547.1	1	2020058	2022147	true	1418	49
gene112	RNA230	0, 1, 2, 3, 4, 5, 6	0,0,0,1,0,1,1	NW_014569547.1	1	2030115	2034652	true	2491	7
gene113	RNA233	0, 1, 2, 3, 4	0,0,1,0,1	NW_014569547.1	-1	2040312	2041365	true	187	23
gene114	RNA234	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12	0,0,2,0,0,1,0,2,0,0,0,1,0	NW_014569547.1	1	2041417	2045677	true	292	31
gene115	RNA235	0, 1, 2, 3, 4	0,2,1,0,2	NW_014569547.1	-1	2045762	2046691	true	145	11
gene116	RNA237	0	0	NW_014569547.1	1	2047421	2049532	true	NA	704
gene117	RNA238	0, 1, 2, 3, 4	0,1,1,2,0	NW_014569547.1	-1	2050669	2051931	true	113	49
gene118	RNA240	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21	0,2,0,0,0,2,2,0,1,1,0,2,1,0,0,0,2,1,1,0,2,2	NW_014569547.1	1	2054363	2062650	true	705	10
gene119	RNA241	0, 1	0,1	NW_014569547.1	-1	2068798	2073115	true	3661	9
gene121	RNA243	0	0	NW_014569547.1	-1	2081288	2082667	true	NA	460
gene122	RNA244	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11	0,2,0,1,0,2,0,0,1,0,0,2	NW_014569547.1	1	2083487	2088428	true	381	26
gene123	RNA245	0, 1, 2	0,0,2	NW_014569547.1	-1	2092180	2092539	true	92	14
gene124	RNA246	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51	0,2,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,1,0,1,0,2,0,1,1,2,1,2,1,0,0,2,2	NW_014569547.1	1	2094625	2431304	true	153870	6
gene125	RNA247	0, 1	0,0	NW_014569547.1	1	2252676	2301123	true	46411	50
gene127	RNA249	0, 1, 2, 3, 4, 5, 6	0,0,2,2,0,2,1	NW_014569547.1	-1	2447214	2483266	true	12118	17
gene128	RNA250	0, 1, 2, 3, 4, 5, 6, 7	0,1,0,0,1,1,0,0	NW_014569547.1	-1	2516042	2518209	true	91	23
gene129	RNA253	0, 1, 2, 3, 4, 5, 6	0,2,1,2,0,1,0	NW_014569547.1	1	2520040	2521612	true	200	13
gene130	RNA254	0	0	NW_014569547.1	-1	2523740	2524180	true	NA	147
gene131	RNA255	0, 1, 2, 3, 4, 5, 6	0,2,0,0,0,0,0	NW_014569547.1	1	2524917	2527465	true	847	12
gene132	RNA256	0, 1	0,0	NW_014569547.1	-1	2528215	2528799	true	120	29
gene132	RNA257	0, 2	0,0	NW_014569547.1	-1	2528215	2528799	true	81	29
gene133	RNA258	0, 1, 2, 3	0,2,0,0	NW_014569547.1	-1	2531915	2535001	true	2092	13
gene133	RNA259	4, 2, 3	0,0,0	NW_014569547.1	-1	2531915	2532846	true	224	13
gene134	RNA262	0, 1, 2	0,1,0	NW_014569547.1	1	2539971	2540786	true	98	19
gene135	RNA263	0, 1	0,0	NW_014569547.1	-1	2540910	2542052	true	78	130
gene136	RNA264	0, 1, 2, 3, 4	0,2,0,2,1	NW_014569547.1	1	2542235	2543474	true	325	26
gene136	RNA265	0, 5, 2, 3, 4	0,2,0,2,1	NW_014569547.1	1	2542235	2543474	true	325	26
gene136	RNA266	6, 2, 3, 4	0,0,2,1	NW_014569547.1	1	2542465	2543474	true	325	28
gene137	RNA268	0, 1, 2, 3	0,0,0,2	NW_014569547.1	-1	2544164	2546815	true	1451	3
gene137	RNA269	0, 1, 4, 3	0,0,0,2	NW_014569547.1	-1	2544164	2546815	true	1451	3
gene137	RNA270	0, 1, 5	0,0,0	NW_014569547.1	-1	2545621	2546815	true	362	61
gene138	RNA271	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11	0,1,0,1,0,1,0,0,2,0,0,0	NW_014569547.1	1	2547800	2551629	true	468	15
gene139	RNA272	0, 1, 2, 3, 4	0,1,0,0,2	NW_014569547.1	1	2553747	2560740	true	3242	29
gene139	RNA273	0, 1, 5, 6, 3, 4	0,1,0,2,0,2	NW_014569547.1	1	2553747	2560740	true	3242	29
gene139	RNA274	0, 1, 7, 3, 4	0,1,0,0,2	NW_014569547.1	1	2553747	2560740	true	3242	29
gene140	RNA275	0, 1, 2	0,1,1	NW_014569547.1	-1	2564913	2565952	true	92	23
gene140	RNA276	0, 1, 3	0,1,1	NW_014569547.1	-1	2564885	2565952	true	84	37
gene141	RNA278	0, 1	0,2	NW_014569547.1	1	2568920	2570158	true	792	36
gene142	RNA279	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12	0,2,1,2,2,2,0,2,1,1,2,0,2	NW_014569547.1	1	2574812	2578356	true	224	25
gene143	RNA282	0, 1, 2, 3, 4	0,2,0,0,2	NW_014569547.1	-1	2578876	2579894	true	240	11
